name,fighter_id,date,id,height,weight,reach,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,roll_kd,roll_sig_str_landed,roll_sig_str_atmpted,roll_sig_str_acc,roll_total_str_landed,roll_total_str_atmpted,roll_total_str_acc,roll_td_landed,roll_td_atmpted,roll_td_acc,roll_sub_att,roll_ctrl,roll_head_landed,roll_head_atmpted,roll_head_acc,roll_body_landed,roll_body_atmpted,roll_body_acc,roll_leg_landed,roll_leg_atmpted,roll_leg_acc,roll_dist_landed,roll_dist_atmpted,roll_dist_acc,roll_clinch_landed,roll_clinch_atmpted,roll_clinch_acc,roll_ground_landed,roll_ground_atmpted,roll_ground_acc,roll_landed_head_per,roll_landed_body_per,roll_landed_leg_per,roll_landed_dist_per,roll_landed_clinch_per,roll_landed_ground_per,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch
Mark Choinski,001eb2ab0f30e7ea,2025-06-07,001eb2ab0f30e7ea,172.72,70.31,175.26,3.87,50,7.33,33,2.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
Gabriel Silva,002ca196477ce572,2020-02-29,002ca196477ce572,167.64,61.23,180.34,1.3,34,3.47,45,1.5,25,38,0.5,0.0,8.0,16.0,50.0,58.0,76.0,76.0,1.0,6.0,16.0,0.0,266.0,7.0,14.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,6.0,12.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,87.0,0.0,12.0,75.0,25.0,0.0,1,0,0,0
Aalon Cruz,003d82fa384ca1d0,2021-03-06,003d82fa384ca1d0,182.88,65.77,198.12,7.58,39,8.88,58,0.0,0,0,0.0,0.0,2.0,12.0,16.0,2.0,12.0,17.0,0.0,1.0,0.0,0.0,5.0,2.0,4.0,50.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0,0,0,1
Davi Ramos,0052de90691d4a93,2020-07-18,0052de90691d4a93,167.64,70.31,177.8,2.64,37,3.44,56,1.95,40,83,0.6,0.0,28.33333333333333,72.5,44.833333333333336,36.66666666666666,82.0,51.833333333333336,1.6666666666666667,3.333333333333333,49.5,0.5,123.0,21.166666666666668,59.333333333333336,43.0,3.5,9.166666666666666,51.333333333333336,3.6666666666666665,4.0,63.333333333333336,21.666666666666668,64.5,28.166666666666668,2.6666666666666665,3.333333333333333,44.833333333333336,4.0,4.666666666666667,55.5,74.5,15.5,9.333333333333334,66.5,8.5,24.166666666666668,1,0,0,0
Sean McCorkle,008dc37cca279def,2011-03-26,008dc37cca279def,200.66,120.2,205.74,0.85,44,2.48,52,2.12,40,33,4.2,0.0,2.0,6.5,22.0,4.0,8.5,31.0,0.5,1.5,50.0,2.0,94.0,2.0,6.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.0,4.0,25.0,50.0,0.0,0.0,0.0,0.0,50.0,1,0,0,0
Jeff Molina,008ea710276c9606,2022-06-04,008ea710276c9606,167.64,56.7,175.26,7.25,48,5.04,55,0.0,0,66,0.0,1.5,118.0,209.0,64.0,158.0,254.5,68.5,0.0,0.5,0.0,0.0,124.5,103.0,191.0,61.5,12.0,14.0,91.0,3.0,4.0,83.5,93.5,179.0,60.5,5.0,5.0,50.0,19.5,25.0,89.0,85.0,10.5,3.0,56.5,2.5,40.0,1,0,0,0
Jiri Prochazka,009341ed974bad72,2025-01-18,009341ed974bad72,190.5,92.99,203.2,5.74,55,5.7,43,0.6,60,68,0.2,0.3333333333333333,56.0,101.66666666666669,50.16666666666666,64.66666666666667,111.33333333333331,52.16666666666666,0.5,0.8333333333333334,38.833333333333336,0.1666666666666666,106.66666666666669,45.66666666666666,89.0,45.66666666666666,7.5,9.666666666666666,70.33333333333333,2.833333333333333,3.0,80.5,42.66666666666666,82.83333333333333,47.5,3.1666666666666665,3.8333333333333335,70.5,10.166666666666666,15.0,48.333333333333336,75.33333333333333,16.166666666666668,7.5,81.5,6.166666666666667,11.166666666666666,1,0,0,0
AJ Dobson,009c4420727149ea,2024-03-23,009c4420727149ea,185.42,83.91,193.04,4.29,46,5.31,46,1.67,75,65,0.3,0.0,59.0,128.33333333333334,47.66666666666666,76.66666666666667,151.33333333333334,52.0,1.6666666666666667,2.0,55.333333333333336,0.0,116.33333333333331,32.666666666666664,96.66666666666669,35.0,9.0,12.666666666666666,77.0,17.333333333333332,19.0,96.0,51.66666666666666,115.33333333333331,47.0,5.0,8.666666666666666,54.333333333333336,2.333333333333333,4.333333333333333,46.66666666666666,57.0,14.333333333333334,26.666666666666668,87.0,8.0,3.333333333333333,1,0,0,0
Glaico Franca Moreira,00a3ff40c4b2cf21,2016-09-24,00a3ff40c4b2cf21,182.88,70.31,195.58,2.35,42,3.46,47,2.68,42,76,0.3,0.0,31.0,72.5,54.0,57.0,101.0,64.0,4.0,9.5,42.0,0.5,363.5,13.0,50.5,36.0,7.5,9.0,85.0,10.5,13.0,81.0,25.5,65.5,51.0,2.5,2.5,50.0,3.0,4.5,60.5,38.5,25.5,34.5,76.5,10.5,11.5,1,0,0,0
Dylan Andrews,00debc804e2b1cd4,2015-05-09,00debc804e2b1cd4,185.42,83.91,187.96,2.21,50,2.72,46,2.83,50,57,0.4,0.25,14.25,26.75,56.25,21.0,34.25,64.5,1.5,3.0,39.0,0.0,76.75,9.5,19.75,36.75,2.0,2.75,52.5,2.75,4.25,48.5,8.5,19.5,53.75,1.75,2.0,43.75,4.0,5.25,36.75,51.5,17.0,31.25,71.25,8.75,20.0,0,0,0,1
