name,division,fighter_id,date,id,height,weight,reach,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,roll_kd,roll_sig_str_landed,roll_sig_str_atmpted,roll_sig_str_acc,roll_total_str_landed,roll_total_str_atmpted,roll_total_str_acc,roll_td_landed,roll_td_atmpted,roll_td_acc,roll_sub_att,roll_ctrl,roll_head_landed,roll_head_atmpted,roll_head_acc,roll_body_landed,roll_body_atmpted,roll_body_acc,roll_leg_landed,roll_leg_atmpted,roll_leg_acc,roll_dist_landed,roll_dist_atmpted,roll_dist_acc,roll_clinch_landed,roll_clinch_atmpted,roll_clinch_acc,roll_ground_landed,roll_ground_atmpted,roll_ground_acc,roll_landed_head_per,roll_landed_body_per,roll_landed_leg_per,roll_landed_dist_per,roll_landed_clinch_per,roll_landed_ground_per,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch
AJ Cunningham,Bantamweight,d1053e55f00e53fe,15/03/2025,d1053e55f00e53fe,177.8,61.23,180.34,4.22,29,6.31,48,0,0,46,0.5,0,36,75,48,36,77,47,0,0,0,0,26,15,49,31,10,14,71,11,12,92,34,72,47,2,3,67,0,0,0,41,27,30,94,5,0,1,0,0,0
AJ Cunningham,Lightweight,d1053e55f00e53fe,15/03/2025,d1053e55f00e53fe,177.8,61.23,180.34,4.22,29,6.31,48,0,0,46,0.5,0,36,75,48,36,77,47,0,0,0,0,26,15,49,31,10,14,71,11,12,92,34,72,47,2,3,67,0,0,0,41,27,30,94,5,0,1,0,0,0
AJ Dobson,Middleweight,009c4420727149ea,23/03/2024,009c4420727149ea,185.42,83.91,193.04,4.29,46,5.31,46,1.67,75,65,0.3,0,59,128.33333333333334,47.66666666666666,76.66666666666667,151.33333333333334,52,1.6666666666666667,2,55.333333333333336,0,116.33333333333331,32.666666666666664,96.66666666666669,35,9,12.666666666666666,77,17.333333333333332,19,96,51.66666666666666,115.33333333333331,47,5,8.666666666666666,54.333333333333336,2.333333333333333,4.333333333333333,46.66666666666666,57,14.333333333333334,26.666666666666668,87,8,3.333333333333333,1,0,0,0
AJ Fletcher,Welterweight,725b1abc9a39d873,23/09/2023,725b1abc9a39d873,177.8,77.11,170.18,3.36,49,4.61,46,1.54,35,33,0.9,0,42.66666666666666,87.33333333333333,47.333333333333336,71,120,62.333333333333336,1.3333333333333333,3.333333333333333,22,1,193,33.666666666666664,75,44.66666666666666,3.6666666666666665,6,39.66666666666666,5.333333333333333,6.333333333333333,71,37,78,37.66666666666666,2.333333333333333,3.6666666666666665,55.66666666666666,3.333333333333333,5.666666666666667,56.333333333333336,77,5,16.666666666666668,64.33333333333333,6.666666666666667,27.666666666666668,0,0,0,1
Aalon Cruz,Featherweight,003d82fa384ca1d0,06/03/2021,003d82fa384ca1d0,182.88,65.77,198.12,7.58,39,8.88,58,0,0,0,0,0,2,12,16,2,12,17,0,1,0,0,5,2,4,50,0,4,0,0,4,0,2,12,17,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,1
Aalon Cruz,Lightweight,003d82fa384ca1d0,06/03/2021,003d82fa384ca1d0,182.88,65.77,198.12,7.58,39,8.88,58,0,0,0,0,0,2,12,16,2,12,17,0,1,0,0,5,2,4,50,0,4,0,0,4,0,2,12,17,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,1
Aaron Brink,Heavyweight,cf1a88371c8cb690,17/11/2000,cf1a88371c8cb690,190.5,92.99,,3.49,42,5.71,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aaron Phillips,Bantamweight,34c2b3656f88f7ef,15/04/2023,34c2b3656f88f7ef,175.26,61.23,180.34,1.51,53,3.66,43,0.86,50,44,0.6,0,20.666666666666668,36.333333333333336,51.66666666666666,115.33333333333331,144,68.66666666666667,0,0.3333333333333333,0,0.3333333333333333,24.33333333333333,9.666666666666666,23.666666666666668,30.666666666666668,9.666666666666666,10.666666666666666,89.66666666666667,1.3333333333333333,2,44.333333333333336,9.333333333333334,21.666666666666668,42.333333333333336,7,8.333333333333334,81.33333333333333,4.333333333333333,6.333333333333333,46.333333333333336,34.333333333333336,60,4,56.333333333333336,25.33333333333333,17,0,0,1,0
Aaron Phillips,Featherweight,34c2b3656f88f7ef,15/04/2023,34c2b3656f88f7ef,175.26,61.23,180.34,1.51,53,3.66,43,0.86,50,44,0.6,0,20.666666666666668,36.333333333333336,51.66666666666666,115.33333333333331,144,68.66666666666667,0,0.3333333333333333,0,0.3333333333333333,24.33333333333333,9.666666666666666,23.666666666666668,30.666666666666668,9.666666666666666,10.666666666666666,89.66666666666667,1.3333333333333333,2,44.333333333333336,9.333333333333334,21.666666666666668,42.333333333333336,7,8.333333333333334,81.33333333333333,4.333333333333333,6.333333333333333,46.333333333333336,34.333333333333336,60,4,56.333333333333336,25.33333333333333,17,0,0,1,0
Aaron Pico,Featherweight,5537efc6e496dd84,16/08/2025,5537efc6e496dd84,172.72,65.77,177.8,3.88,44,2.39,50,8.96,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aaron Riley,Lightweight,f2c8ebbeafd45f2b,27/07/2013,f2c8ebbeafd45f2b,172.72,70.31,175.26,3.45,34,3.78,61,1.18,34,60,0.1,0,36,91.5,36.875,69.375,127.25,47.75,1,2.875,28.375,0.125,139.375,17.125,66.25,18.125,10.5,13.5,77.875,8.375,11.75,75.75,20.875,68.125,27.375,12.375,19.625,49.125,2.75,3.75,39.875,34.625,32.875,31.5,60,33.625,5.625,0,0,1,0
Aaron Riley,Welterweight,f2c8ebbeafd45f2b,27/07/2013,f2c8ebbeafd45f2b,172.72,70.31,175.26,3.45,34,3.78,61,1.18,34,60,0.1,0,36,91.5,36.875,69.375,127.25,47.75,1,2.875,28.375,0.125,139.375,17.125,66.25,18.125,10.5,13.5,77.875,8.375,11.75,75.75,20.875,68.125,27.375,12.375,19.625,49.125,2.75,3.75,39.875,34.625,32.875,31.5,60,33.625,5.625,0,0,1,0
Aaron Rosa,Heavyweight,11f8860028b68fcf,02/03/2012,11f8860028b68fcf,193.04,92.99,195.58,4.03,47,4.41,45,0.36,33,85,0.4,0,66,139,49.5,195.5,284.5,67,0,0.5,0,0,30.5,40.5,110.5,37.5,21,23.5,87.5,4.5,5,90,40,107.5,36,26,31.5,75,0,0,0,59,33,6.5,57,42,0,1,0,0,0
Aaron Rosa,Light Heavyweight,11f8860028b68fcf,02/03/2012,11f8860028b68fcf,193.04,92.99,195.58,4.03,47,4.41,45,0.36,33,85,0.4,0,66,139,49.5,195.5,284.5,67,0,0.5,0,0,30.5,40.5,110.5,37.5,21,23.5,87.5,4.5,5,90,40,107.5,36,26,31.5,75,0,0,0,59,33,6.5,57,42,0,1,0,0,0
Aaron Simpson,Middleweight,d5f820c11a121050,05/10/2012,d5f820c11a121050,182.88,77.11,185.42,3.6,52,2.53,56,3.78,34,83,0.5,0.5,42.6,81.6,55,75,119.3,63,3.1,9.1,39.1,0.3,316,23,57.6,42.9,9.3,13.1,78.2,10.3,10.9,84.9,15.4,43.4,37.2,17,23.2,79.4,10.2,15,67.4,56.3,21.1,21.2,34.4,37.1,27.1,1,0,0,0
Aaron Simpson,Welterweight,d5f820c11a121050,05/10/2012,d5f820c11a121050,182.88,77.11,185.42,3.6,52,2.53,56,3.78,34,83,0.5,0.5,42.6,81.6,55,75,119.3,63,3.1,9.1,39.1,0.3,316,23,57.6,42.9,9.3,13.1,78.2,10.3,10.9,84.9,15.4,43.4,37.2,17,23.2,79.4,10.2,15,67.4,56.3,21.1,21.2,34.4,37.1,27.1,1,0,0,0
Aaron Wilkinson,Lightweight,338a11d3674eb2d4,04/12/2010,338a11d3674eb2d4,177.8,70.31,,0,0,0,100,7.32,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Abdul Razak Alhassan,Middleweight,eae431e70064e046,11/01/2025,eae431e70064e046,177.8,83.91,185.42,3.64,49,4.01,54,0.84,33,51,0.2,0.6153846153846154,22.923076923076923,46.07692307692308,59.07692307692308,26.923076923076923,50.92307692307692,61.92307692307692,0.3846153846153846,1,10.23076923076923,0.076923077,52.30769230769231,18,38.76923076923077,48.07692307692308,2.4615384615384617,3.230769230769231,50.15384615384615,2.4615384615384617,4.076923076923077,46.53846153846154,15.923076923076923,35.84615384615385,49.61538461538461,3.692307692307693,5.307692307692308,60.07692307692308,3.3076923076923075,4.923076923076923,21.23076923076923,72.84615384615384,10,16.153846153846153,72.53846153846153,14.461538461538462,12.076923076923077,1,0,0,0
Abdul Razak Alhassan,Welterweight,eae431e70064e046,11/01/2025,eae431e70064e046,177.8,83.91,185.42,3.64,49,4.01,54,0.84,33,51,0.2,0.6153846153846154,22.923076923076923,46.07692307692308,59.07692307692308,26.923076923076923,50.92307692307692,61.92307692307692,0.3846153846153846,1,10.23076923076923,0.076923077,52.30769230769231,18,38.76923076923077,48.07692307692308,2.4615384615384617,3.230769230769231,50.15384615384615,2.4615384615384617,4.076923076923077,46.53846153846154,15.923076923076923,35.84615384615385,49.61538461538461,3.692307692307693,5.307692307692308,60.07692307692308,3.3076923076923075,4.923076923076923,21.23076923076923,72.84615384615384,10,16.153846153846153,72.53846153846153,14.461538461538462,12.076923076923077,1,0,0,0
Abdul-Kareem Al-Selwady,Lightweight,597499ac7a5aac62,02/03/2024,597499ac7a5aac62,172.72,70.31,175.26,4.14,34,3.6,59,2.32,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Abdul-Kerim Edilov,Light Heavyweight,37e03538c960bac6,02/09/2017,37e03538c960bac6,187.96,92.99,,10.22,61,0.13,92,3.98,100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Abel Trujillo,Lightweight,e14b5aa06eea9653,16/12/2017,e14b5aa06eea9653,172.72,70.31,177.8,2.65,41,2.31,59,2.18,45,40,0.4,0.3,24.4,57.1,37.2,34,67.4,52.3,1.4,2.7,54.3,0.3,103.8,17.2,48.6,32.5,5.6,6.9,69,1.6,1.6,40,11.7,39.5,24.9,6.2,9.4,54.9,6.5,8.2,42.9,66.1,19.4,3.7,52.6,19.9,16.8,1,0,0,0
Abner Lloveras,Lightweight,6448e57a9533b7e4,11/12/2015,6448e57a9533b7e4,180.34,70.31,,6.27,49,6.87,43,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Azaitar,Middleweight,46d0a888d87d91ac,21/10/2023,46d0a888d87d91ac,175.26,83.91,193.04,4.38,43,4.32,51,1,37,42,0,0,78,173.5,43,138.5,243.5,57,0.5,2,50,0,159.5,39,123.5,31.5,29.5,40,73.5,9.5,10,97,56,145,36,15.5,20.5,70.5,6.5,8,40.5,54.5,33,10.5,68.5,17,13.5,1,0,0,0
Abubakar Nurmagomedov,Welterweight,029e1293e609fd74,03/06/2023,029e1293e609fd74,180.34,77.11,182.88,2.78,53,2.61,65,1.25,22,88,0,0,34.666666666666664,65.33333333333333,51,66,100.66666666666669,66.33333333333333,1,3.333333333333333,48.333333333333336,0,281,25.666666666666668,56,44.66666666666666,4.666666666666667,5,61,4.333333333333333,4.333333333333333,100,32,61.66666666666666,50.66666666666666,2.333333333333333,3,51.66666666666666,0.3333333333333333,0.6666666666666666,16.666666666666668,74,9,16.666666666666668,94.33333333333331,4.333333333333333,0.6666666666666666,1,0,0,0
Abus Magomedov,Middleweight,36b8f265bcd1b7a4,26/04/2025,36b8f265bcd1b7a4,187.96,83.91,198.12,3.21,48,3.68,56,2.65,57,100,0.2,0.2,28,63.6,55,47.2,93.4,59,2.2,3.4,37,0.2,191.4,14.2,44,45.8,9.2,14,72.8,4.6,5.6,51.2,24.6,59,52.4,0.8,0.8,40,2.6,3.8,34.6,57,29,12.8,76.4,7.4,15.6,1,0,0,0
Adam Cella,Middleweight,b27b8881d7444114,06/04/2013,b27b8881d7444114,187.96,77.11,,1.91,42,2.61,51,3.92,75,50,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Fugitt,Welterweight,a01a62132460a98d,19/07/2025,a01a62132460a98d,185.42,77.11,195.58,4.59,46,4.54,51,1.83,25,50,0,0,43.5,94.75,47.5,49.75,103.5,50.75,1.25,4.25,17.25,0,72.75,19.75,61.25,36.75,17.5,25.25,67,6.25,8.25,62,39.5,88.25,45,2.5,3.75,40,1.5,2.75,21.5,46,41.5,11.5,85.5,7,7,0,0,1,0
Adam Milstead,Heavyweight,72ffecf712673af1,15/12/2018,72ffecf712673af1,190.5,92.99,193.04,3.85,46,4.79,43,0,0,64,0,0,39,83.33333333333333,64.33333333333333,44.66666666666666,89.66666666666667,53,0,0,0,0,6.666666666666667,33.333333333333336,76.33333333333333,62.66666666666666,3.6666666666666665,5,49.333333333333336,2,2,66.66666666666667,30.666666666666668,71.33333333333333,62,7.333333333333333,11,44,1,1,66.66666666666667,90,6,3,85.33333333333333,12.333333333333334,1.3333333333333333,1,0,0,0
Adam Milstead,Light Heavyweight,72ffecf712673af1,15/12/2018,72ffecf712673af1,190.5,92.99,193.04,3.85,46,4.79,43,0,0,64,0,0,39,83.33333333333333,64.33333333333333,44.66666666666666,89.66666666666667,53,0,0,0,0,6.666666666666667,33.333333333333336,76.33333333333333,62.66666666666666,3.6666666666666665,5,49.333333333333336,2,2,66.66666666666667,30.666666666666668,71.33333333333333,62,7.333333333333333,11,44,1,1,66.66666666666667,90,6,3,85.33333333333333,12.333333333333334,1.3333333333333333,1,0,0,0
Adam Wieczorek,Heavyweight,efa1f6b42c86793c,03/11/2018,efa1f6b42c86793c,195.58,113.4,205.74,1.68,38,1.87,48,0.41,33,58,0.4,0,27.5,61,46,43.5,78.5,53,0,0.5,0,0.5,65.5,12.5,44,22.5,9.5,11,80.5,5.5,6,90,18,49.5,39.5,6,6,100,3.5,5.5,60.5,34.5,32.5,31,68.5,16.5,13,1,0,0,0
Adam Yandiev,Middleweight,0a95c474e61a6c44,15/09/2018,0a95c474e61a6c44,175.26,83.91,187.96,0.18,8,6.14,36,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adlan Amagov,Welterweight,1e327b281ef6a745,19/10/2013,1e327b281ef6a745,187.96,77.11,193.04,3.29,47,0.82,78,5.84,56,100,0,0,38,99,38,57,118,48,6,10,60,0,269,12,53,23,5,9,56,21,37,56,26,77,34,10,16,62,2,6,33,31,13,55,68,26,5,1,0,0,0
Adrian Serrano,Welterweight,e7ec11096eac0282,09/06/2000,e7ec11096eac0282,172.72,77.11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Yanez,Bantamweight,0232cabbc30a2372,14/12/2024,0232cabbc30a2372,170.18,61.23,177.8,6.23,41,5.75,54,0,0,81,0,0.75,42.25,103.125,43.875,42.5,103.75,44.125,0,0,0,0,5.375,30,85.75,38.875,6,10.625,63.375,6.25,6.75,71.625,37.625,95.875,42.25,0.625,1.5,25,4,5.75,28.125,72.75,15.75,10.875,86.5,2.75,10.125,1,0,0,0
Adriano Martins,Lightweight,7dcf06c1967801c1,09/09/2017,7dcf06c1967801c1,177.8,70.31,182.88,1.8,38,2.14,65,0.83,80,81,0.4,0.3333333333333333,14.5,33.833333333333336,44.333333333333336,19.166666666666668,39,48.5,0.6666666666666666,0.8333333333333334,29.166666666666668,0.1666666666666666,61,7.833333333333333,25.33333333333333,35.666666666666664,1.8333333333333333,2.833333333333333,37.833333333333336,4.833333333333333,5.666666666666667,80,13.333333333333334,31.5,44.16666666666666,0,0.5,0,1.1666666666666667,1.8333333333333333,29.166666666666668,65.16666666666667,8.5,25.166666666666668,88,0,11.666666666666666,0,0,1,0
Adriano Santos,Middleweight,c6e6926a81adcd00,16/10/1998,c6e6926a81adcd00,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiemann Zahabi,Bantamweight,24656ef4d605c96f,10/05/2025,24656ef4d605c96f,172.72,61.23,172.72,4.42,46,4.13,69,0.14,14,83,0,0.375,46.25,100.375,50.625,47,101.25,51.375,0.125,0.875,2.5,0,21.875,33.875,81.875,45.625,7.125,11.125,59.75,5.25,7.375,38.875,44,96.875,50.75,1.375,2.25,47.25,0.875,1.25,28.375,74.75,14.125,10.125,86.875,3.875,8.5,1,0,0,0
Aiemann Zahabi,Featherweight,24656ef4d605c96f,10/05/2025,24656ef4d605c96f,172.72,61.23,172.72,4.42,46,4.13,69,0.14,14,83,0,0.375,46.25,100.375,50.625,47,101.25,51.375,0.125,0.875,2.5,0,21.875,33.875,81.875,45.625,7.125,11.125,59.75,5.25,7.375,38.875,44,96.875,50.75,1.375,2.25,47.25,0.875,1.25,28.375,74.75,14.125,10.125,86.875,3.875,8.5,1,0,0,0
Ailin Perez,Women's Bantamweight,06e4245d16fc5315,18/01/2025,06e4245d16fc5315,165.1,61.23,167.64,3.1,54,1.79,55,4.68,46,66,0.2,0.2,33.4,57.2,57,76.2,109.8,71.6,4.2,8.2,45.6,0.2,333,21.8,39.8,54.4,7.2,10,57.8,4.4,7.4,46.6,11.8,27.2,41.4,6.4,8.8,82.2,15.2,21.2,80.4,61.6,22.6,14.6,39.4,20,39.4,0,0,0,1
Ailin Perez,Women's Featherweight,06e4245d16fc5315,18/01/2025,06e4245d16fc5315,165.1,61.23,167.64,3.1,54,1.79,55,4.68,46,66,0.2,0.2,33.4,57.2,57,76.2,109.8,71.6,4.2,8.2,45.6,0.2,333,21.8,39.8,54.4,7.2,10,57.8,4.4,7.4,46.6,11.8,27.2,41.4,6.4,8.8,82.2,15.2,21.2,80.4,61.6,22.6,14.6,39.4,20,39.4,0,0,0,1
Aisling Daly,Women's Strawweight,e50cd77732d39967,24/10/2015,e50cd77732d39967,157.48,52.16,162.56,2.92,52,1.4,55,2.15,41,33,0.9,0,21.5,45.5,51,51,80,65,1.5,3.5,45,1,299,14,35.5,46,6,7.5,75,1.5,2.5,30,7,27,33,7,9,68,7.5,9.5,78.5,68,25.5,5.5,32,28,39,1,0,0,0
Akbarh Arreola,Lightweight,c136b2a8852da5bd,14/11/2015,c136b2a8852da5bd,177.8,70.31,180.34,2.32,45,4.01,56,1.07,100,33,0.4,0.3333333333333333,25.33333333333333,57.66666666666666,44,41.333333333333336,75.33333333333333,50.66666666666666,1,1,66.66666666666667,0.3333333333333333,18.33333333333333,11.333333333333334,39,31,8.333333333333334,11,67.66666666666667,5.666666666666667,7.666666666666667,79.66666666666667,20.33333333333333,51,39,1.3333333333333333,2,72.33333333333333,3.6666666666666665,4.666666666666667,82,48.66666666666666,29.666666666666668,20.33333333333333,75.33333333333333,7,16.333333333333332,0,0,1,0
Akihiro Gono,Welterweight,b2acebbef8da14ea,31/01/2009,b2acebbef8da14ea,170.18,77.11,172.72,2.18,48,2.67,63,1.01,84,46,0.5,0.5,41.5,75.5,56.5,48.5,82.5,61.5,2,2.5,87.5,0.5,110.5,16,38,37.5,11.5,16.5,69.5,14,21,67.5,35,65.5,56,3.5,6,58,3,4,83.5,32,29,38,81.5,9,8.5,0,0,0,1
Akira Corassani,Featherweight,3f52ce18fb98008f,24/01/2015,3f52ce18fb98008f,172.72,65.77,172.72,3.25,45,4.91,50,0.7,28,86,0,0,25.8,55.2,45.2,28.8,58.4,47,0.4,1.4,6.6,0,58.4,15,41.4,38.6,5.4,7,64.6,5.4,6.8,44.8,22.2,49.8,44.4,3.6,5.4,52,0,0,0,70.4,14.6,13.8,89.4,9.8,0,1,0,0,0
Al Iaquinta,Lightweight,59279a7c978f7da0,06/11/2021,59279a7c978f7da0,177.8,70.31,177.8,4.06,40,4.53,61,0.63,18,74,0.2,0.5,54.57142857142857,134.21428571428572,43.21428571428572,57.21428571428572,137.28571428571428,44.57142857142857,0.5714285714285714,3.071428571428572,18.428571428571427,0.2142857142857142,48.785714285714285,36.85714285714285,109.42857142857144,37,10.142857142857142,16.357142857142858,61.142857142857146,7.571428571428571,8.428571428571429,83.28571428571429,50.35714285714285,127.78571428571428,42.71428571428572,2.2142857142857144,3.642857142857143,32,2,2.7857142857142856,50.142857142857146,68.21428571428571,17.142857142857142,13.285714285714286,88.14285714285714,4.071428571428571,6.857142857142857,1,0,0,0
